,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
419,long_path,lp,5s,penalty,1,gaus_top,"[13.884968738530198, 7.425214431171893]","[4.268337288455122, 2.453112901748685]","[7.026422414609052, 3.6665698279702243]",8.39324281386479,"[14.075082808085867, 8.57949725250545]","[3.687222909993327, 3.2401438226513473]","[6.653864150326797, 7.267866786266488]",[16.41918382605777],[6.079047219219219],[7.746040231946606]
420,long_path,lp,5s,penalty,3,average,"[14.182503842509181, 6.105125457853938]","[3.6919831068568576, 2.168209000804138]","[8.404371504115225, 3.647590419504849]",8.759619484493754,"[14.616295689022353, 9.26732304825859]","[3.9719672092926266, 3.0373828545443398]","[7.311751358024692, 6.111268525406624]",[17.41317827327327],[5.688262861611612],[8.924444034132172]
421,long_path,lp,5s,penalty,3,gaus_80,"[14.35183863897339, 7.3731411387618815]","[3.634081947952614, 1.910653793239365]","[7.3129072726585855, 3.9652140173864123]",8.43294261986153,"[14.110790093774945, 9.672763416202457]","[4.59650952205559, 2.807892114066311]","[6.883578490683996, 4.188407667287225]",[16.442461968867555],[6.354945985277868],[7.804172295160629]
422,long_path,lp,5s,penalty,3,gaus_normal,"[14.366964303105059, 7.290053103947956]","[3.524829638462981, 2.061408348198623]","[7.275687599583405, 3.7451684872843916]",8.38916051371715,"[14.211614536424252, 9.65096705791057]","[4.40266141723743, 2.8081441339408553]","[6.741863287408124, 4.0606707761172425]",[16.365779950684537],[6.0762848082405],[7.724630210496663]
423,long_path,lp,5s,penalty,3,gaus_top,"[14.52047874664943, 6.954429887584227]","[3.745450794711378, 1.5950169181292055]","[8.035286081275721, 3.784854507349424]",8.767071874212176,"[13.01276924869314, 8.515111828895616]","[5.238702306890224, 2.4002055260076416]","[7.2812994444444445, 7.517891628039488]",[17.24940393485762],[7.168908749666332],[8.73035512386831]
424,long_path,lp,5s,penalty,6,average,"[14.464122130908684, 5.60619986356618]","[4.3397446901901935, 2.453352617649134]","[12.11727250643004, 4.745374732292128]",10.30704644250964,"[15.107726698086976, 9.612217686191554]","[4.725652070403738, 2.61349809206179]","[9.123434459876544, 6.741268777021177]",[17.60094282977422],[6.28281478645312],[12.907641474219318]
425,long_path,lp,5s,penalty,6,gaus_80,"[14.403360882279722, 6.8798118459475575]","[3.6810710549002557, 2.043908589727032]","[8.307377155345074, 4.4556145334945905]",8.79726969750835,"[14.274241464416924, 8.67872349197215]","[4.6360524589790115, 2.3944011662377487]","[7.8019776489535895, 5.481855136505295]",[16.581282299590082],[6.176860110801285],[9.15820945169865]
426,long_path,lp,5s,penalty,6,gaus_normal,"[14.514070616771754, 6.868036022361066]","[3.698387300231765, 2.132385625445]","[8.097113246377717, 4.099355575807589]",8.769857054460411,"[14.362275911168432, 8.752403170694958]","[4.699304659018942, 2.371152621023436]","[7.6056222417021235, 4.7097112389049265]",[16.50199485157867],[5.999981447655514],[8.873782330666417]
427,long_path,lp,5s,penalty,6,gaus_top,"[14.981763510538318, 7.687470340709113]","[3.724574884634636, 1.7485140984000622]","[8.65136121399177, 5.209683073437009]",9.119233203054907,"[15.631767280057836, 9.705572104103943]","[4.8220460568902235, 2.511345530461365]","[8.26914070899471, 10.481581251178296]",[18.289147434245983],[7.057985040790792],[9.880711950561954]
428,long_path,lp,5s,penalty,12,average,"[14.95177130444333, 6.351588927892062]","[4.994820905467969, 2.472568544166518]","[18.90137759092078, 6.270026923200141]",12.949323266944026,"[16.048752554568456, 10.352822144542598]","[4.265449194715548, 2.4015538276611395]","[12.794055997942387, 9.34781132777137]",[18.888303222722723],[6.4223494472597595],[20.340277407891552]
429,long_path,lp,5s,penalty,12,gaus_80,"[13.988660441422626, 7.794094851558988]","[3.903558827672306, 2.09620684056981]","[9.008077063161133, 5.1087994932708085]",8.966765444085354,"[14.131750473288262, 8.516063001262102]","[4.03130815401254, 1.9049958872745427]","[9.297342946768824, 7.042125722554834]",[16.8264566566472],[5.91665863242646],[10.28167159225971]
430,long_path,lp,5s,penalty,12,gaus_normal,"[14.211071232628793, 7.451602579289127]","[4.042259259594896, 2.127779505994247]","[8.835558547480504, 4.56482028759958]",9.029629679901397,"[14.2182428006653, 8.436713402050177]","[4.098258326328682, 2.060286987600935]","[9.017940986476432, 5.912447568339436]",[16.68645796379376],[5.77816607816821],[10.004283776537086]
431,long_path,lp,5s,penalty,12,gaus_top,"[14.416290864628516, 8.699682042959438]","[4.009012217967968, 2.095441976337016]","[8.480439561213993, 6.220896468941226]",8.968580881270158,"[15.234561476198422, 9.290526311156068]","[5.1387770995996, 1.9627956467300427]","[8.146435565843625, 10.316903747166151]",[17.647225724543027],[7.520440390473809],[10.13940115238441]
432,long_path,lp,5s,ignore,1,average,"[14.59295960243577, 9.10266709057623]","[2.8883717884551223, 1.7200136121632807]","[7.844673562757204, 2.791449457322321]",8.442001651216032,"[14.90366476976977, 10.282400589537648]","[3.83803662370704, 1.5860512754243121]","[8.482867080610022, 5.471956864380131]",[15.558275623901679],[4.599987321988655],[9.477119638344226]
433,long_path,lp,5s,ignore,1,gaus_80,"[14.59295960243577, 9.10266709057623]","[2.8883717884551223, 1.7200136121632807]","[7.844673562757204, 2.791449457322321]",8.442001651216032,"[14.90366476976977, 10.282400589537648]","[3.83803662370704, 1.5860512754243121]","[8.482867080610022, 5.471956864380131]",[15.558275623901679],[4.599987321988655],[9.477119638344226]
434,long_path,lp,5s,ignore,1,gaus_normal,"[14.59295960243577, 9.10266709057623]","[2.8883717884551223, 1.7200136121632807]","[7.844673562757204, 2.791449457322321]",8.442001651216032,"[14.90366476976977, 10.282400589537648]","[3.83803662370704, 1.5860512754243121]","[8.482867080610022, 5.471956864380131]",[15.558275623901679],[4.599987321988655],[9.477119638344226]
435,long_path,lp,5s,ignore,1,gaus_top,"[14.59295960243577, 9.10266709057623]","[2.8883717884551223, 1.7200136121632807]","[7.844673562757204, 2.791449457322321]",8.442001651216032,"[14.90366476976977, 10.282400589537648]","[3.83803662370704, 1.5860512754243121]","[8.482867080610022, 5.471956864380131]",[15.558275623901679],[4.599987321988655],[9.477119638344226]
436,long_path,lp,5s,ignore,3,average,"[14.043872377154933, 8.777127431372831]","[2.5631635914247592, 1.2544891103055036]","[7.669719088991769, 2.5902976805022764]",8.092251685857155,"[14.119800482982985, 9.350026719499391]","[2.4466855780780787, 1.9331721786931835]","[7.453448775720165, 3.9653095862558603]",[14.801012088310532],[3.247228349015683],[8.914004530743162]
437,long_path,lp,5s,ignore,3,gaus_80,"[14.011506417071573, 9.041179119997242]","[2.637396056487066, 1.0867386500951612]","[7.446803989097655, 2.5179665317364766]",8.031902154218765,"[14.565153148475767, 11.1553251858981]","[2.3571110214589335, 1.7639495775173326]","[7.174912818577162, 4.2320604054773305]",[14.816672699237056],[3.4070036077722157],[8.770738425180197]
438,long_path,lp,5s,ignore,3,gaus_normal,"[14.031877457631964, 8.953902253211668]","[2.5928446943142864, 1.1366210040935922]","[7.517942044588815, 2.5089441967461354]",8.047554732178355,"[14.434518438806272, 9.36747408511088]","[2.4216623520588842, 1.749364105977917]","[7.232322393522774, 3.984189113492888]",[14.832982974233039],[3.3232131838582704],[8.783375618449082]
439,long_path,lp,5s,ignore,3,gaus_top,"[14.138931729006783, 9.05846051524463]","[2.7946392858692035, 1.351172483697691]","[6.984612760288067, 3.173165428660431]",7.972727925054684,"[14.068854513124236, 11.256194300432577]","[4.115968725392059, 1.647624781528942]","[6.986793775720164, 4.291524624133221]",[15.386339092703816],[4.579277129045713],[8.855421310457519]
440,long_path,lp,5s,ignore,6,average,"[13.814865756784558, 8.032625149882426]","[2.618162216424758, 1.136390158908641]","[7.864426155349796, 2.4339310301078507]",8.099151376186372,"[13.987299068651986, 9.298063859977235]","[2.5901282159242576, 1.53957668023443]","[7.870996635802468, 3.650461213214751]",[14.345205072767211],[3.378951782574242],[9.020588648934881]
